epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.694,0.94995,2.1063,1.03232,0.87545,0.88913,0.93998,0.75691,0.71285,0.92594,0.92015,0.000333116,0.000333116,0.000333116
2,342.831,0.87262,1.00329,1.00192,0.90335,0.914,0.97159,0.77812,0.72694,0.64197,0.92996,0.000640058,0.000640058,0.000640058
3,505.759,0.85093,0.83906,0.99555,0.93289,0.9457,0.98248,0.80901,0.68053,0.504,0.91165,0.0009206,0.0009206,0.0009206
4,666.842,0.82935,0.76437,0.98523,0.96735,0.94292,0.98538,0.81568,0.66513,0.45808,0.90708,0.0008812,0.0008812,0.0008812
5,827.975,0.79731,0.68327,0.97261,0.95846,0.95221,0.98677,0.82226,0.64756,0.42723,0.8996,0.0008416,0.0008416,0.0008416
6,986.88,0.77587,0.64428,0.96283,0.97084,0.9629,0.98957,0.82793,0.64362,0.38735,0.89423,0.000802,0.000802,0.000802
7,1148.56,0.75767,0.60702,0.95412,0.96496,0.97249,0.99166,0.83742,0.62418,0.3714,0.88896,0.0007624,0.0007624,0.0007624
8,1308.47,0.7527,0.58836,0.95281,0.97483,0.96342,0.99166,0.83881,0.60764,0.35195,0.88267,0.0007228,0.0007228,0.0007228
9,1468.56,0.73747,0.56304,0.94442,0.98343,0.97439,0.99331,0.84257,0.60961,0.33791,0.88034,0.0006832,0.0006832,0.0006832
10,1629.65,0.72812,0.54667,0.94339,0.97942,0.98108,0.99295,0.8421,0.6127,0.33662,0.884,0.0006436,0.0006436,0.0006436
11,1790.91,0.72433,0.53203,0.94354,0.98408,0.98021,0.99343,0.84991,0.59117,0.31621,0.87351,0.000604,0.000604,0.000604
12,1951.2,0.71556,0.52025,0.93753,0.98394,0.97789,0.99358,0.84711,0.59251,0.30717,0.87432,0.0005644,0.0005644,0.0005644
13,2112.96,0.69748,0.50721,0.93046,0.9854,0.97854,0.99324,0.84943,0.58835,0.30527,0.87462,0.0005248,0.0005248,0.0005248
14,2273.93,0.69045,0.48689,0.92737,0.98065,0.98465,0.99356,0.85421,0.5855,0.29685,0.87366,0.0004852,0.0004852,0.0004852
15,2436.43,0.67969,0.48062,0.92379,0.98682,0.98573,0.99412,0.85651,0.57423,0.28721,0.86888,0.0004456,0.0004456,0.0004456
16,2596.33,0.60918,0.3382,0.89153,0.98569,0.9877,0.99429,0.85595,0.57556,0.28618,0.86818,0.000406,0.000406,0.000406
17,2755.24,0.60114,0.32664,0.88737,0.99105,0.98452,0.99373,0.85838,0.57298,0.28493,0.86719,0.0003664,0.0003664,0.0003664
18,2913.67,0.59299,0.31997,0.88306,0.9873,0.9865,0.99421,0.86035,0.56012,0.2713,0.86255,0.0003268,0.0003268,0.0003268
19,3071.46,0.58544,0.30482,0.8783,0.98996,0.98426,0.99401,0.8619,0.55885,0.26821,0.8613,0.0002872,0.0002872,0.0002872
20,3229.17,0.57475,0.29603,0.87411,0.98873,0.98902,0.99428,0.86312,0.55274,0.2617,0.85847,0.0002476,0.0002476,0.0002476
21,3386.89,0.56949,0.28938,0.87339,0.99113,0.98678,0.99427,0.86501,0.55199,0.25812,0.85796,0.000208,0.000208,0.000208
22,3545.69,0.56273,0.2806,0.86719,0.98938,0.98846,0.99444,0.86642,0.54839,0.25311,0.85667,0.0001684,0.0001684,0.0001684
23,3704.03,0.55511,0.27284,0.86735,0.99053,0.98992,0.99397,0.86528,0.54948,0.25011,0.85646,0.0001288,0.0001288,0.0001288
24,3862.88,0.54968,0.26761,0.86605,0.98937,0.98952,0.99413,0.86514,0.54586,0.24775,0.85627,8.92e-05,8.92e-05,8.92e-05
25,4021.8,0.54061,0.25735,0.86328,0.99172,0.98905,0.99403,0.8658,0.54475,0.24407,0.85579,4.96e-05,4.96e-05,4.96e-05
