epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1165.27,1.33748,3.19534,0.02451,0.3318,0.35036,0.26828,0.15514,1.48539,2.74625,0.04587,0.000331746,0.000331746,0.0671571
2,2289.67,1.27463,2.1094,0.02335,0.42409,0.54253,0.48624,0.34472,1.11714,1.64346,0.03233,0.00066443,0.00066443,0.0341565
3,3384.71,1.25865,1.8127,0.02294,0.62345,0.63915,0.66208,0.49588,1.02854,1.27865,0.02972,0.000994516,0.000994516,0.00115325
4,4439.39,1.21729,1.58431,0.02222,0.66149,0.72217,0.74671,0.54747,1.03427,1.12231,0.02901,0.000991232,0.000991232,0.000991232
5,5717.42,1.20848,1.47975,0.02245,0.7014,0.70907,0.74774,0.52919,1.12097,0.99364,0.03306,0.000984449,0.000984449,0.000984449
6,7017.32,1.19449,1.38664,0.02199,0.61548,0.68542,0.70611,0.52672,1.00808,1.11916,0.02902,0.000975773,0.000975773,0.000975773
7,8312.93,1.16904,1.29568,0.02166,0.78967,0.80089,0.85387,0.64464,1.0021,0.80682,0.02877,0.000965239,0.000965239,0.000965239
8,9619.61,1.13666,1.23348,0.02023,0.85601,0.78841,0.89112,0.69084,0.89167,0.7346,0.02505,0.000952889,0.000952889,0.000952889
9,10698.7,1.15206,1.16279,0.02113,0.74494,0.80388,0.81966,0.64551,0.852,0.82534,0.02389,0.000938772,0.000938772,0.000938772
10,11821.9,1.11081,1.14471,0.02001,0.94625,0.8045,0.9151,0.71585,0.87102,0.61789,0.02424,0.000922942,0.000922942,0.000922942
11,13056.1,1.08891,1.0869,0.01919,0.86017,0.81448,0.91737,0.73715,0.8067,0.67229,0.02219,0.000905463,0.000905463,0.000905463
12,14301,1.07514,1.03017,0.01904,0.89817,0.82965,0.92294,0.73701,0.83335,0.60318,0.02324,0.000886404,0.000886404,0.000886404
13,15540.3,1.10063,1.02341,0.01941,0.88577,0.83822,0.90726,0.70104,0.93919,0.61166,0.02676,0.000865839,0.000865839,0.000865839
14,16795.1,1.0894,1.03298,0.01986,0.90015,0.84422,0.93111,0.75017,0.81507,0.58088,0.02223,0.000843851,0.000843851,0.000843851
15,18036.8,1.05984,1.00051,0.01851,0.95021,0.85351,0.9359,0.73959,0.86181,0.5136,0.02465,0.000820525,0.000820525,0.000820525
16,19277.8,1.02267,0.94833,0.01784,0.92842,0.8102,0.92067,0.73966,0.81022,0.56464,0.02288,0.000795954,0.000795954,0.000795954
17,20516.7,1.05463,0.92066,0.01845,0.93826,0.84455,0.9295,0.7477,0.81339,0.52044,0.0235,0.000770234,0.000770234,0.000770234
18,21756.1,1.04591,0.92218,0.01882,0.90308,0.88426,0.93981,0.72287,0.90945,0.51375,0.02658,0.000743468,0.000743468,0.000743468
19,22996,1.0128,0.90528,0.01784,0.93394,0.84707,0.93988,0.76298,0.79202,0.49402,0.02234,0.000715761,0.000715761,0.000715761
20,24243.9,1.01012,0.87304,0.01773,0.90096,0.89487,0.942,0.76215,0.80056,0.48269,0.02274,0.000687222,0.000687222,0.000687222
21,25484.9,0.99551,0.85015,0.01774,0.94202,0.87631,0.94873,0.7619,0.79652,0.45853,0.02234,0.000657963,0.000657963,0.000657963
22,26725.1,0.98402,0.82781,0.01713,0.94603,0.90114,0.95714,0.7966,0.7179,0.4246,0.01986,0.000628101,0.000628101,0.000628101
23,27964.6,0.96917,0.83236,0.01702,0.96303,0.88159,0.95078,0.77972,0.76711,0.43138,0.02148,0.000597754,0.000597754,0.000597754
