epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,738.679,1.24652,2.29738,1.52873,0.34648,0.8106,0.51772,0.3211,1.30169,2.12305,1.67013,0.000331746,0.000331746,0.0671571
2,1480.14,1.18923,1.64711,1.45216,0.55326,0.74109,0.67656,0.49317,1.03483,1.5228,1.49941,0.000643132,0.000643132,0.0341352
3,2229.69,1.17959,1.48416,1.43243,0.50634,0.75104,0.71458,0.53158,0.97518,1.37204,1.44611,0.000932517,0.000932517,0.00109125
4,2980.19,1.14345,1.38269,1.41742,0.68053,0.63825,0.78403,0.58475,0.93885,1.29976,1.40349,0.000901,0.000901,0.000901
5,3728.52,1.1312,1.25677,1.40155,0.82828,0.87507,0.89196,0.6762,0.92561,0.92778,1.37677,0.000868,0.000868,0.000868
6,4475.37,1.10923,1.17013,1.39465,0.84356,0.7821,0.86792,0.67914,0.88632,1.02923,1.35697,0.000835,0.000835,0.000835
7,5223.65,1.09103,1.1467,1.3667,0.90738,0.8636,0.93292,0.72548,0.86198,0.7777,1.34535,0.000802,0.000802,0.000802
8,5969.1,1.06963,1.08077,1.35612,0.95939,0.90674,0.94718,0.73851,0.88941,0.6607,1.33951,0.000769,0.000769,0.000769
9,6716.59,1.02898,1.0187,1.3224,0.95927,0.91432,0.95027,0.73205,0.9043,0.72336,1.32447,0.000736,0.000736,0.000736
10,7474.76,1.01849,0.98425,1.3286,0.97645,0.91909,0.94762,0.75194,0.83308,0.62681,1.29078,0.000703,0.000703,0.000703
11,8222.91,0.99409,0.91322,1.29734,0.97129,0.92533,0.95761,0.76601,0.8305,0.61626,1.2706,0.00067,0.00067,0.00067
12,8969.55,0.99065,0.89378,1.29504,0.98051,0.92058,0.95789,0.76879,0.78101,0.56558,1.2539,0.000637,0.000637,0.000637
13,9715.56,0.9555,0.84688,1.27862,0.95089,0.92438,0.95812,0.77915,0.76868,0.58067,1.24301,0.000604,0.000604,0.000604
14,10463,0.93621,0.83263,1.26936,0.96687,0.93187,0.95939,0.79221,0.71723,0.51284,1.19765,0.000571,0.000571,0.000571
15,11207.8,0.92071,0.80174,1.25565,0.97697,0.92827,0.95998,0.78887,0.71882,0.53151,1.18609,0.000538,0.000538,0.000538
16,11955.4,0.91346,0.81207,1.25582,0.9839,0.92157,0.96297,0.7912,0.73136,0.5,1.1926,0.000505,0.000505,0.000505
17,12700.7,0.90879,0.77779,1.25775,0.97775,0.93539,0.96082,0.7972,0.70583,0.48931,1.18527,0.000472,0.000472,0.000472
18,13448.3,0.88407,0.73312,1.23005,0.99516,0.92954,0.95992,0.80259,0.69721,0.4826,1.17098,0.000439,0.000439,0.000439
19,14198.7,0.87709,0.70709,1.22627,0.98993,0.93611,0.96292,0.80617,0.68756,0.46437,1.1679,0.000406,0.000406,0.000406
20,14955.8,0.85031,0.68949,1.21181,0.98854,0.93771,0.9621,0.81012,0.66502,0.45166,1.13099,0.000373,0.000373,0.000373
21,15698.2,0.72867,0.49292,1.20124,0.96907,0.95141,0.96854,0.81242,0.66241,0.45065,1.13759,0.00034,0.00034,0.00034
22,16440.2,0.69083,0.46158,1.18846,0.98626,0.91151,0.96094,0.82131,0.63428,0.45779,1.12695,0.000307,0.000307,0.000307
23,17182.6,0.67613,0.44066,1.17257,0.98905,0.94063,0.96542,0.82345,0.61612,0.41288,1.11451,0.000274,0.000274,0.000274
24,17925.9,0.66703,0.43282,1.1613,0.98558,0.94156,0.96769,0.83515,0.59777,0.39645,1.08357,0.000241,0.000241,0.000241
25,18668.4,0.64481,0.40734,1.15336,0.98787,0.94212,0.97232,0.83456,0.59258,0.37445,1.08643,0.000208,0.000208,0.000208
26,19410.1,0.63841,0.39865,1.13618,0.98717,0.9389,0.96672,0.83723,0.57964,0.38212,1.0711,0.000175,0.000175,0.000175
27,20153,0.61924,0.38363,1.12102,0.98918,0.94897,0.96918,0.8443,0.56639,0.36131,1.05855,0.000142,0.000142,0.000142
28,20895.2,0.60112,0.36684,1.10998,0.97664,0.95094,0.97051,0.84475,0.57549,0.36269,1.06231,0.000109,0.000109,0.000109
29,21647.7,0.59157,0.35826,1.09861,0.98399,0.94672,0.96883,0.84303,0.57654,0.36333,1.06056,7.6e-05,7.6e-05,7.6e-05
30,22390.5,0.58358,0.34954,1.09149,0.97986,0.94854,0.96914,0.84685,0.56168,0.35375,1.06,4.3e-05,4.3e-05,4.3e-05
