epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1055.21,0.99795,3.00033,1.49624,0.72512,0.71653,0.8297,0.64339,0.80045,2.31039,1.29389,0.000330935,0.000330935,0.000330935
2,2027.42,0.94709,1.91775,1.39526,0.87396,0.82225,0.96691,0.73864,0.89961,1.57917,1.36985,0.000598506,0.000598506,0.000598506
3,2998.9,0.90856,1.4204,1.3694,0.86839,0.913,0.97602,0.80227,0.74038,1.22264,1.17752,0.000800077,0.000800077,0.000800077
4,3960.73,0.8618,1.15753,1.30853,0.96174,0.94221,0.98646,0.85719,0.59746,0.81066,1.08144,0.000703,0.000703,0.000703
5,4920.15,0.80324,0.92719,1.27012,0.9627,0.95653,0.98811,0.82944,0.68055,0.69442,1.12662,0.000604,0.000604,0.000604
6,5879.51,0.77553,0.78758,1.25561,0.98256,0.98665,0.99445,0.88727,0.51442,0.54727,1.01342,0.000505,0.000505,0.000505
7,6868.64,0.72593,0.67155,1.20642,0.99262,0.97968,0.9948,0.86,0.5893,0.48243,1.05728,0.000406,0.000406,0.000406
8,7849.2,0.69625,0.61001,1.17832,0.9989,0.99857,0.995,0.89195,0.48298,0.39705,0.98679,0.000307,0.000307,0.000307
9,8822.25,0.65612,0.53851,1.14973,0.9986,1,0.995,0.89684,0.47542,0.38354,0.972,0.000208,0.000208,0.000208
10,9786.87,0.61859,0.50234,1.12276,0.99562,0.99928,0.995,0.9052,0.44058,0.35334,0.94672,0.000109,0.000109,0.000109
