epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,390.275,1.29043,2.04581,1.31079,1.22318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000665672,0.000665672,0.000665672
2,1726.27,1.15543,1.85064,0.81534,1.08594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120044,0.00120044,0.00120044
3,2596.27,1.11461,1.78604,0.73165,1.06349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016032,0.0016032,0.0016032
4,3111.37,1.08719,1.73119,0.69465,1.04285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
5,3591.58,1.04431,1.67411,0.63546,1.02752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
6,4052.35,1.02413,1.64463,0.60454,1.01242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,4567.17,1.00067,1.6022,0.57826,0.99792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
8,4997.57,0.97121,1.5643,0.54865,0.98362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
9,5418.94,0.95395,1.54729,0.52709,0.97833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
10,6102.42,0.9302,1.52944,0.50378,0.9646,0,0.63144,0.14376,0.15736,0.10892,0.54927,0.17373,0.17939,0.10568,3.26281,4.91494,3.86181,3.55722,0,0.000218,0.000218,0.000218
